date,TMAX_F,TMIN_F,energy_mwh,city
2024-08-05,91.94,75.02,12474190,Atlanta
2024-08-06,93.02,77.0,12508638,Atlanta
2024-08-07,96.08,73.94,12969978,Atlanta
2024-08-08,96.08,77.0,13093375,Atlanta
2024-08-09,95.0,75.92,13074709,Atlanta
2024-08-10,93.02,73.04,12296586,Atlanta
2024-08-11,91.94,69.08,11770286,Atlanta
2024-08-12,91.94,69.98,12292232,Atlanta
2024-08-13,93.02,71.06,12568860,Atlanta
2024-08-14,91.94,75.92,12412866,Atlanta
2024-08-15,89.96,73.94,12526235,Atlanta
2024-08-16,91.04,71.96,12497507,Atlanta
2024-08-17,95.0,71.06,11986766,Atlanta
2024-08-18,91.04,71.96,11770816,Atlanta
2024-08-19,89.06,69.98,12083196,Atlanta
2024-08-20,89.06,69.98,11639577,Atlanta
2024-08-21,84.92,66.92,11109197,Atlanta
2024-08-22,84.92,69.08,11084767,Atlanta
2024-08-23,84.92,64.94,10736316,Atlanta
2024-08-24,87.98,66.02,10423430,Atlanta
2024-08-25,89.96,69.08,10815307,Atlanta
2024-08-26,91.94,69.98,11868325,Atlanta
2024-08-27,93.92,71.06,12619005,Atlanta
2024-08-28,96.98,73.94,13208946,Atlanta
2024-08-29,98.06,75.92,13243013,Atlanta
2024-08-30,96.08,75.02,12510163,Atlanta
2024-08-31,93.92,73.94,11682768,Atlanta
2024-09-01,96.08,73.94,11175249,Atlanta
2024-09-02,93.92,71.96,11557943,Atlanta
2024-09-03,84.92,71.06,11500359,Atlanta
2024-09-04,84.92,64.94,10894166,Atlanta
2024-09-05,84.02,69.08,11010060,Atlanta
2024-09-06,80.06,69.98,10091645,Atlanta
2024-09-07,87.08,68.0,9851212,Atlanta
2024-09-08,84.02,64.04,9216695,Atlanta
2024-09-09,84.92,66.92,10050905,Atlanta
2024-09-10,86.0,64.94,10245538,Atlanta
2024-09-11,78.08,66.92,9798800,Atlanta
2024-09-12,73.94,66.92,9641313,Atlanta
2024-09-13,75.02,68.0,9794903,Atlanta
2024-09-14,73.94,69.08,9396665,Atlanta
2024-09-15,78.98,69.98,9391751,Atlanta
2024-09-16,82.94,66.92,9996188,Atlanta
2024-09-17,84.02,62.06,9931663,Atlanta
2024-09-18,84.02,66.92,10335714,Atlanta
2024-09-19,89.06,68.0,10706361,Atlanta
2024-09-20,91.94,69.98,10954323,Atlanta
2024-09-21,93.92,69.98,10712471,Atlanta
2024-09-22,96.98,71.96,10865264,Atlanta
2024-09-23,96.08,73.04,11682515,Atlanta
2024-09-24,93.02,73.94,11530494,Atlanta
2024-09-25,86.0,66.02,10296921,Atlanta
2024-09-26,73.94,66.02,9332003,Atlanta
2024-09-27,75.02,66.02,7861503,Atlanta
2024-09-28,78.08,64.94,7782156,Atlanta
2024-09-29,80.06,66.02,8300941,Atlanta
2024-09-30,80.96,66.02,9285353,Atlanta
2024-10-01,82.94,66.92,9752826,Atlanta
2024-10-02,86.0,66.02,9952969,Atlanta
2024-10-03,84.92,68.0,9743456,Atlanta
